timestamp,dpss_Val_1,dpss_Val_2,estimated_linear_velocity,encoder_value,gt_velocity_savgol,lstm_filtered_velocity,traditional_filtered_velocity
34704,555,560,-0.1546,-57738,-0.39382797890935217,0.17076999999999992,0.1691081081081081
34707,557,559,-0.1508,-57743,-0.39570708197802,0.15843999999999991,0.16995945945945948
34709,557,558,-0.1551,-57749,-0.39834259501389,0.14731999999999992,0.17081081081081084
34711,556,561,-0.1461,-57754,-0.4003042882625104,0.14080999999999994,0.17166216216216224
34714,559,565,-0.1172,-57760,-0.40338271368792744,0.13870999999999994,0.17251351351351357
34716,562,568,-0.0933,-57766,-0.40579967255813915,0.13919999999999993,0.17336486486486494
34719,562,564,-0.1098,-57772,-0.40901606201635465,0.13838999999999993,0.17421621621621627
34721,558,560,-0.1424,-57778,-0.41215280254034226,0.13752999999999993,0.1750594594594595
34724,556,558,-0.1593,-57784,-0.41659753464645843,0.13625999999999994,0.17589729729729733
34726,555,558,-0.1634,-57790,-0.4192150864751022,0.13715999999999992,0.17673513513513517
34729,557,560,-0.1465,-57796,-0.42244935870732453,0.14352999999999994,0.17757297297297298
34732,557,561,-0.1422,-57802,-0.4264592178288749,0.15496999999999994,0.1784108108108108
34735,558,560,-0.1424,-57808,-0.4303472701608084,0.16659999999999994,0.17924324324324326
34737,557,558,-0.1551,-57814,-0.4320422904637127,0.17685999999999996,0.17997027027027027
34740,554,555,-0.1809,-57820,-0.43389660863507273,0.18686999999999995,0.18105135135135134
34742,551,552,-0.2077,-57827,-0.4360324628472117,0.19596999999999995,0.18222432432432434
34745,549,550,-0.2261,-57833,-0.4398741219299125,0.20578999999999997,0.18340270270270273
34747,547,548,-0.245,-57840,-0.4424512414339926,0.21415999999999996,0.1845810810810811
34750,545,547,-0.2594,-57846,-0.4454078600697927,0.22201999999999994,0.18575405405405407
34752,545,548,-0.2544,-57852,-0.4470024074187372,0.22816999999999993,0.18692702702702704
34755,546,549,-0.2447,-57858,-0.4489155505045935,0.23082999999999995,0.187972972972973
34757,548,551,-0.2259,-57865,-0.4506711212528192,0.23080999999999996,0.18901891891891895
34760,548,552,-0.221,-57872,-0.4519394648425774,0.22941999999999996,0.1900648648648649
34762,549,552,-0.2166,-57878,-0.45132697983284253,0.22613999999999995,0.19111081081081088
34765,550,553,-0.2075,-57884,-0.4496701565077511,0.22094999999999998,0.19215675675675684
34767,550,553,-0.2075,-57891,-0.4489610025551943,0.21536,0.19320270270270276
34770,550,552,-0.2122,-57898,-0.4490713188781795,0.20939000000000002,0.1942567567567568
34772,550,552,-0.2122,-57904,-0.4476351281990589,0.20529999999999998,0.19542972972972977
34776,550,553,-0.2075,-57910,-0.4467543231460019,0.20126999999999998,0.19660270270270275
34778,551,554,-0.1985,-57917,-0.4462091338384508,0.19856,0.19777567567567572
34781,552,556,-0.185,-57923,-0.4445510163652406,0.19630999999999998,0.19894864864864867
34783,552,556,-0.185,-57930,-0.4448176108777376,0.19318,0.20000810810810815
34786,553,556,-0.1807,-57936,-0.4443315994341696,0.19002999999999998,0.20095675675675678
34788,552,555,-0.1895,-57942,-0.4472235106640239,0.18775999999999998,0.20143243243243247
34791,552,556,-0.185,-57948,-0.4485493065869399,0.18686,0.20118918918918924
34793,553,557,-0.1762,-57955,-0.45118179994386587,0.18823,0.200945945945946
34796,553,556,-0.1807,-57962,-0.45330616368937326,0.19001,0.20082162162162168
34798,552,555,-0.1895,-57968,-0.4587415857888254,0.19136000000000003,0.20168648648648654
34801,551,554,-0.1985,-57974,-0.4622693159111645,0.19314000000000003,0.2025513513513514
34803,550,552,-0.2122,-57982,-0.46652408276006757,0.19404000000000005,0.20341621621621628
34806,550,554,-0.2028,-57988,-0.4694896035662614,0.19539000000000004,0.20428108108108115
34808,551,554,-0.1985,-57995,-0.474820238884691,0.19762000000000005,0.20515675675675682
34811,551,554,-0.1985,-58002,-0.47716903928730636,0.19893000000000005,0.2060324324324325
34813,551,554,-0.1985,-58008,-0.48138251104623314,0.19889000000000007,0.20690810810810817
34817,551,554,-0.1985,-58016,-0.48332416460731503,0.19842000000000007,0.20778378378378384
