timestamp,dpss_Val_1,dpss_Val_2,estimated_linear_velocity,encoder_value,gt_velocity_savgol,dpss_lstm_filtered,traditional_filtered
5696,582,586,0.0101,-112,-0.001583766248038219,0.1109698146544123,-0.010902702702702702
5698,582,586,0.0101,-112,0.0007477182852262466,0.11106058329306384,-0.0109
5700,584,586,0.0167,-112,0.002057107805305592,0.11105724021398539,-0.010897297297297298
5702,583,586,0.0134,-112,0.0034149486944250237,0.11103136062200605,-0.010805405405405406
5704,582,586,0.0101,-112,0.0047125454073080626,0.11108083639494937,-0.010624324324324325
5706,582,586,0.0101,-112,0.005859318322890973,0.11115758544116647,-0.010443243243243245
5709,583,586,0.0134,-112,0.005585445892608334,0.11117063964967426,-0.010262162162162162
5711,583,586,0.0134,-112,0.005897606154150032,0.1111379632943754,-0.01008108108108108
5713,582,586,0.0101,-112,0.006560292092750359,0.11107013497437546,-0.009899999999999997
5715,581,586,0.0069,-111,0.007374228542069103,0.11089234625278392,-0.009718918918918918
5718,583,587,0.0169,-111,0.008176372184191538,0.11063688451203674,-0.009537837837837838
5720,583,586,0.0134,-111,0.008839911549628442,0.11048929196816332,-0.009356756756756757
5723,582,586,0.0101,-111,0.009274267017316078,0.11053220592276161,-0.009175675675675676
5725,582,587,0.0136,-111,0.009425090814616205,0.11065611657614319,-0.008994594594594596
5727,584,587,0.0201,-111,0.009274267017316078,0.11080321095283677,-0.008813513513513515
5729,583,586,0.0134,-111,0.008839911549628442,0.11109750996183856,-0.008632432432432434
5731,582,585,0.0067,-111,0.008176372184191538,0.1116337813769797,-0.008451351351351354
5733,582,586,0.0101,-111,0.007374228542069103,0.11232647162265444,-0.008270270270270271
5736,583,586,0.0134,-110,0.006560292092750361,0.11309438839610497,-0.00808918918918919
5738,582,586,0.0101,-110,0.0058976061541500336,0.11398891977588874,-0.00790810810810811
5740,582,585,0.0067,-110,0.005585445892608335,0.11499662095958146,-0.007727027027027029
5742,581,585,0.0034,-110,0.005859318322890975,0.1159416197460668,-0.007545945945945948
5744,583,585,0.01,-110,0.004712545407308063,0.1167194607969273,-0.007364864864864867
5746,582,586,0.0101,-110,0.003414948694425026,0.11741147778629663,-0.007094594594594596
5748,581,585,0.0034,-110,0.0020571078053055938,0.11807419194394018,-0.006824324324324326
5751,581,585,0.0034,-110,0.0007477182852262481,0.11861866391639411,-0.006643243243243245
5753,582,585,0.0067,-110,-0.0003864083963237823,0.11898734999808581,-0.0064621621621621635
5755,582,585,0.0067,-110,-0.0012003448456425244,0.1192888282124769,-0.006191891891891893
5757,581,585,0.0034,-110,-0.0015310477448152574,0.11964657213490298,-0.005921621621621623
5760,581,585,0.0034,-110,-0.0011973578517145136,0.12002962880334378,-0.005740540540540542
5762,582,585,0.0067,-110,-0.0011973578517145136,0.12034445687344322,-0.005559459459459461
5765,582,585,0.0067,-110,-0.0015310477448152574,0.12058091873999655,-0.00537837837837838
5767,581,585,0.0034,-110,-0.0012003448456425244,0.1207605768088511,-0.005197297297297299
5769,581,585,0.0034,-110,-0.0003864083963237823,0.12085415121983253,-0.005016216216216217
5771,581,585,0.0034,-110,0.0007477182852262481,0.12086223878401839,-0.0048351351351351365
5773,581,585,0.0034,-110,0.0020571078053055938,0.12088825607680218,-0.004654054054054056
5775,581,585,0.0034,-110,0.003414948694425026,0.12101551297543453,-0.004472972972972974
5778,581,585,0.0034,-110,0.004712545407308063,0.12118361696624369,-0.004291891891891893
5780,582,585,0.0067,-110,0.005859318322890975,0.12129301164754944,-0.004113513513513514
5782,582,585,0.0067,-110,0.006782803744322772,0.12135067858262888,-0.003935135135135134
5784,581,585,0.0034,-110,0.007428653898965213,0.12142172269295842,-0.003845945945945945
5786,580,585,0.0001,-110,0.007760636938392808,0.1215270562652225,-0.0037567567567567558
5788,582,585,0.0067,-109,0.007760636938392809,0.12167262522734801,-0.0036675675675675663
5790,581,585,0.0034,-109,0.007428653898965215,0.12189097075446034,-0.0035783783783783774
5793,581,585,0.0034,-109,0.006782803744322772,0.12213851603792181,-0.0034891891891891884
5795,580,585,0.0001,-109,0.005859318322890976,0.12225653670845374,-0.003399999999999999
5797,581,585,0.0034,-109,0.004712545407308064,0.12217350457381304,-0.003399999999999999
5799,582,585,0.0067,-109,0.0034149486944250263,0.12202419178004062,-0.0034891891891891884
5801,580,584,-0.0034,-109,0.0020571078053055946,0.12196723579143615,-0.003578378378378378
